id,title,content,question,answer
28,phéromones,"Une  phéromone  (ou phérormone ou encore phérohormone) est une  substance chimique  émise par la plupart des  animaux  et certains  végétaux , et qui agit comme un message entre les individus d'une même  espèce  (communication intraspécifique, à l'opposé des  ectomones  impliquées dans la  communication interspécifique ). Ce composé  sémiochimique  transmet aux autres organismes des informations qui influencent la physiologie et les comportements (sexuel, maternel, agression,  agrégation , pistage…) [ 1 ] . Très actives, certaines phéromones agissent même en faible quantité, et elles peuvent être transportées et être détectées à plusieurs kilomètres. Chez les  mammifères  et les  reptiles , les phéromones sont principalement détectées par l' organe voméronasal , tandis que les  insectes  utilisent généralement leurs  antennes . À la différence des hormones  classiques  ( insuline ,  adrénaline , etc.) produites par les  glandes endocrines  et qui circulent uniquement à l'intérieur de l'organisme en participant à son  métabolisme , les phéromones sont généralement produites par des glandes exocrines, ou sécrétées avec l' urine , et servent de messagers chimiques entre individus. Elles peuvent être volatiles (perçues par l' odorat ), ou agir par contact ( composés cuticulaires  des insectes par exemple, perçues par les récepteurs gustatifs). Elles jouent un rôle primordial lors des périodes d'accouplement, et chez certains  insectes sociaux , telles les  fourmis  ou les  abeilles . Ces phéromones sont indispensables au bon fonctionnement du groupe. Les phéromones sexuelles des insectes contribuent à l'isolement reproducteur entre les espèces grâce à leur spécificité. L'existence des phéromones dans l'espèce humaine est un sujet controversé. De nombreux biais scientifiques et sociopsychologiques rendent complexe l'étude des effets psychologiques des odeurs, parfums ou phéromones sur les  émotions  et les comportements des humains [ 2 ] , [ 3 ] . En particulier, il est souvent très difficile de distinguer les nombreux effets olfactifs appris des véritables effets phéromonaux innés [ 4 ] . Chez l'humain, les structures olfactives sont  vestigiales  et les phéromones n'ont plus que des effets faibles [ 5 ] , [ 4 ] . Grâce aux techniques  biochimiques , il est possible de produire des phéromones de synthèse. Elles sont utilisées par l' industrie cosmétique , souvent dans des  parfums , avec des présentations commerciales qui suggèrent des effets sexuels et affectifs [ 6 ] , malgré l'absence de données expérimentales valides [ 5 ] , [ 4 ] . Des phéromones de synthèse, respectueuses de l'environnement, peuvent également être utilisées pour la protection des cultures comme produit de remplacement des insecticides. ",Par quoi sont produites les phéromones ?,des glandes exocrines
29,Antarctique,"Pour les articles homonymes, voir  Antarctique (homonymie) . Vous lisez un « article de qualité » labellisé en 2010.  L' Antarctique  (prononcé  / ɑ̃ . t a ʁ k . t i k / , ou aussi  / ɑ̃ . t a ʁ . t i k /   .mw-parser-output .prononciation>a{background:url(""//upload.wikimedia.org/wikipedia/commons/8/8a/Loudspeaker.svg"")center left no-repeat;background-size:11px 11px;padding-left:15px;font-size:smaller} Écouter ), parfois appelé «le Continent Austral» ou «le Continent Blanc» [ b ] , est le  continent  le plus  méridional  de la  Terre . Situé autour du  pôle Sud , il est entouré des mers  de Ross  et  de Weddell  et, suivant les classifications, des océans  Atlantique ,  Indien  et  Pacifique  ou du seul  océan Austral . Il forme le cœur de la  région antarctique  qui inclut également les parties émergées du  plateau des Kerguelen  ainsi que d'autres territoires insulaires de la  plaque antarctique  plus ou moins proches. L'ensemble de ces territoires, qui partagent des caractéristiques écologiques communes, constitue l' écozone antarctique . Avec une  superficie  de  14 millions  de kilomètres carrés, l'Antarctique est plus petit que l' Asie , l' Afrique  ou l' Amérique ; seules l' Europe  et l' Océanie  sont plus petites que lui. Quelque 98% de sa surface sont recouverts d'une  couche de glace  d'une épaisseur moyenne de 1,6 km . C'est pourquoi la morphologie du  sous-sol  antarctique reste encore peu connue voire inconnue, alors que petit à petit se dévoile la présence de  lacs subglaciaires  et de  chaînes de montagnes   subglaciaires  comme celle de  Gamburtsev . Cette épaisseur de glace fait de l’Antarctique le continent dont l' altitude  moyenne est la plus élevée. L'Antarctique est le  continent  dont le  climat  est le plus froid, le plus sec et le plus venteux. Puisqu'il n'y tombe que peu de  précipitations , excepté sur ses parties côtières où elles sont de l'ordre de 200 mm/an , l'intérieur du continent constitue le plus grand  désert  du monde. À part les bases scientifiques, il n'y a pas d'habitat humain permanent et l'Antarctique n'a pas de population autochtone connue. Seuls des plantes et des animaux adaptés au  froid , au manque de  lumière  et à l' aridité  y vivent, comme des  manchots , des  phoques , des  poissons , des  crustacés , des  mousses , des  lichens  et de nombreux types d' algues . Le nom «Antarctique» vient du grec  ἀνταρκτικός /  antarktikós , qui signifie «opposé à l' Arctique ». Bien que des mythes et des spéculations concernant une  Terra Australis  («Terre Australe») remontent à l' Antiquité , le continent n'est aperçu pour la première fois – de façon attestée – qu'en 1819 par le navigateur britannique  William Smith . Cette découverte suscita un vif intérêt de la part des chasseurs de phoques européens et américains qui affluèrent sur les côtes antarctiques dans les années qui suivirent et s'employèrent à décimer une population de plusieurs millions d'individus [ c ]  au point de parvenir pratiquement à son extinction en 1830. De 1895 à 1922, de  nombreuses expéditions sont menées  par les Européens, Américains, Australiens et Japonais afin de parvenir au pôle Sud. À la suite du  traité sur l'Antarctique  signé en  1959  par douze États et suivi en  1991  par le  protocole de Madrid , l'ensemble des territoires situés au sud du  60 e  parallèle sud  acquiert un statut particulier: les activités militaires y sont interdites ainsi que l'exploitation des ressources minérales sauf celles qui sont menées à des fins scientifiques. Les signataires accordent la priorité aux activités de recherche scientifique. Les expériences en cours sont effectuées par plus de 4000scientifiques de diverses nationalités et ayant des intérêts différents. Considéré comme une  réserve naturelle , le continent est protégé par la  Convention sur la conservation de la faune et la flore marines de l'Antarctique  (CCAMLR) et divers accords internationaux sur la protection de la  biodiversité  et sur la restriction du  tourisme . Modeste ressource jusque dans les années 1980, le tourisme attire de plus en plus de visiteurs: 10000 en 2000, 37000 en 2010, 74000 en 2019 soit 14 fois plus de touristes que de scientifiques présents. La majorité des touristes se concentre durant l'été à proximité de la  péninsule Antarctique . Depuis 1991, des mesures de régulation et de protection ont été prises. L' Association internationale des voyagistes antarctiques  (IAATO), qui regroupe 80% des  voyagistes  opérant sur ce continent, a établi un code de conduite, prône un tourisme éducatif et coopère avec les scientifiques en mettant à leur service la logistique et les moyens de transport. Aussi les États se sont inspirés de ses travaux et données pour élaborer un code international très contraignant.",Où se situe l'Antarctique ?,autour du pôle Sud
30,chats_harets,"Le  chat haret , ou  chat errant , est un  chat domestique  (petit  félin  de la  sous-espèce   Felis silvestris catus ), retourné à l' état sauvage  ou  semi-sauvage , par le phénomène du  marronnage . Il a pu vivre en compagnie d' êtres humains  au cours de son existence, avant de fuir ou d'être abandonné, ou bien être né loin d'eux, en étant issu d'une lignée dont le retour à l'état sauvage remonte à plusieurs générations. De sorte que la différence entre le chat haret et le chat domestique proprement dit n'est pas  génétique , mais uniquement  éthologique , c'est-à-dire liée à son mode de vie. Le chat haret ne doit donc pas être confondu avec les autres sous-espèces, naturelles, du  Chat sauvage  ( Felis silvestris ), comme le  Chat sauvage d'Europe  ( Felis silvestris silvestris ) ou le  Chat sauvage d'Afrique  ( Felis silvestris lybica ), ni avec les autres  espèces appelées  chat . Dans certains pays, où le chat n'est pas une espèce d'origine indigène, les populations de chats harets ont proliféré; ils représentent en  Australie  une population évaluée entre 2,1et 6,3millions de chats fin 2016  [ 1 ] , [ 2 ] , qui pose de graves problèmes environnementaux.",A quoi est lié la différence entre le chat haret et le chat domestique ?,éthologique
31,City_University_of_London,"modifier  -  modifier le code  -  modifier Wikidata City, University of London  est une  université britannique  publique située à  Londres  ( Angleterre ), dans le quartier  Clerkenwell , et fondée en  1894 .En  septembre 2016 , City a rejoint  University of London  (UOL) [ 1 ] .",Quand a été fondée la City Université of London ?,en 1894
32,race,"«Racial» redirige ici. Pour l’article homophone, voir  Rassial . Cet article concerne le concept de race en zoologie. Pour les articles homonymes, voir  race (homonymie) . Pour l'application du concept à l'espèce humaine, voir  race humaine . Chez les  animaux domestiques , la  race  est un  rang taxinomique  informel, inférieur à l' espèce . Les races et les  sous-races  sont distinguées à des fins d' élevage  et de  sélection . On parle ainsi de races  bovines ,  canines ,  félines , ou  caprines . Les  taxons  au rang de race n'ont pas de  noms scientifiques  internationaux [ 1 ] , leur circonscription  taxinomique  repose généralement sur des critères subjectifs et pratiques (notamment utilisés pour la désignation commerciale) [ 2 ] . Ces variations sont généralement très faibles pour les races sélectionnées afin de veiller à un certain standard, dont on exige par exemple des prestations particulières pour satisfaire de façon optimale à un but d'utilisation. Par contre, la variabilité peut être très importante entre races géographiques. Il s'agit d'un concept lié à l'aspect commercial davantage que scientifique. Cet article concerne plus particulièrement l'acception du mot «race» pour désigner des groupes d'une même espèce animale. En  nomenclature botanique et mycologique  où le terme de «race» n'est pas un rang taxinomique  codifié , on parle de  variété  ou de  sous-espèce [ 3 ] . Il reste cependant possible d'utiliser le mot de «variété animale» [ 4 ]  domestique pour désigner une population animale sélectionnée constituée d'une fraction des animaux d'une espèce que des traitements particuliers de sélection ont eu pour effet de distinguer des autres animaux de l'espèce par un petit nombre de caractères dont l'énumération définit le modèle. En  microbiologie  et en  virologie , on parle plutôt de  souche  afin de désigner au sein d'une même espèce microbienne, une population divergeant du reste de l'espèce sur un ou quelques traits différentiels (ex.: une souche de  Escherichia coli  pathogène pour l'homme, alors que la majorité des populations de cette espèce ne le sont pas). Pour les espèces naturelles, les termes sous-espèce ou  population  (selon la divergence et le groupe considéré) sont utilisés [réf.nécessaire] . L'utilisation de critères biologiques prétendant définir différentes «races» humaines au sein de l' espèce humaine  soulève des questions  éthiques  et même logique (on ne vend pas aujourd'hui les hommes dans les pays développés et une désignation commerciale y est donc sans objet). Les controverses sur ce sujet ne sont pas développées ici mais dans l'article  Race humaine .",Dans quel but sont distinguées les races et les sous-races ?,à des fins d' élevage et de sélection
33,oiseau,"Aves Vous lisez un « article de qualité » labellisé en 2008. «Aves» redirige ici. Pour les autres significations, voir  Aves (homonymie) . Pour les articles homonymes, voir  Oiseau (homonymie) . Classe Sous-classes  de rang inférieur Les  Oiseaux  ( Aves ) sont une  classe  de  Vertébrés   tétrapodes  caractérisée par la  bipédie , des  ailes , un  plumage  et un  bec  sans dents. Survivants de l' extinction Crétacé-Paléogène , les oiseaux modernes ( Neornithes ) sont les seuls représentants actuels des  dinosaures   théropodes , tandis que tous les autres groupes de Dinosaures sont  éteints . Les  crocodiliens  constituent aujourd’hui les plus proches parents des oiseaux.  L' histoire évolutive des oiseaux  fait de ces animaux de petite taille apparus au  Jurassique moyen  les  descendants directs  des  dinosaures à plumes  pourvus d' ailes , d'où leur position dans le clade des dinosaures. Les analyses  cladistiques  actuelles les lient aux dinosaures  saurischiens , parmi ceux-ci à l'ensemble des  théropodes  (carnivores bipèdes) et, parmi les nombreux sous-clades qui le composent, au groupe des  coelurosauriens   Maniraptora . Au sein des maniraptoriens, tous les oiseaux sont rassemblés dans le clade des  Avialae  qui forme, avec ses deux groupes-frères, les  Troodontidae  et les  Dromaeosauridae , le groupe des  Paraves  (les «presque oiseaux»). La miniaturisation rapide de cette lignée de dinosaures à plumes, en une cinquantaine de millions d’années, est probablement liée à l’évolution accélérée des nouveautés anatomiques (formation d’ailes et d’un plumage complexe, fusion des clavicules en  furcula , développement du sternum en  bréchet  essentiel au  vol battu , redistribution de la masse du corps) qui leur ont permis de coloniser de nouveaux  habitats  dans les arbres, sources de nourriture et abri contre les prédateurs [ 1 ] . S'il existe, en 2020-2021, autour de 10 700 [ 2 ]  à 11150espèces d'oiseaux recensées [ 3 ]  (dont 9700 espèces  sauvages  réunissant entre 50 et 430milliards d'individus [ 4 ] , et dont plus de la moitié sont des  passereaux [ a ] ), très différentes tant par leur  écologie  que par leurs  comportements , chacune d'elles présente un ensemble commun de caractéristiques évidentes permettant de les regrouper, en particulier des écailles cornées et des  plumes , une mâchoire sans dents enveloppée d'un étui corné formant un bec, une queue osseuse courte, des membres antérieurs transformés en ailes (fonctionnelles ou non, cette caractéristique étant particulièrement rare chez les vertébrés [ b ] ) et des membres postérieurs qui servent seuls normalement à la progression sur le sol ou dans l' eau . En outre, ils sont tous  ovipares , c'est-à-dire qu'ils pondent des  œufs  entourés d'une fine  coquille  dure, et ils sont tous  homéothermes  permanents [ c ] . Au début du  XXI e siècle, 12% des espèces d'oiseaux sont reconnues en danger par l' UICN . Au moins 40% des espèces connaissent une  baisse de leur population . Les principales causes de la disparition des oiseaux sont l'effondrement des populations d'insectes, une ressource alimentaire importante, la perte d'habitat et l'usage généralisé des pesticides [ 5 ] . L' anatomie  et la  physiologie  de la majorité des oiseaux tendent à favoriser au maximum leur capacité à  voler : réduction de poids ( colonne vertébrale  caractérisée par le nombre élevé de  vertèbres  fusionnées en une pièce osseuse unique et très solide, le  synsacrum ; absence de vessie, d'ovaire droit fonctionnel, peau dépourvue de glandes tégumentaires à l'exception de la  glande uropygienne , allègement du  squelette  par des os  pneumatiques , réduction de la musculature ventrale et dorsale). Le corps aérodynamique et une forte musculature pectorale sont également des facteurs favorables au vol. Enfin un  métabolisme  très actif favorisé par une nourriture énergétique et un  appareil respiratoire  efficace par la présence de  sacs aériens  leur permettent de produire la puissance élevée et durable nécessitée par le vol. La  spéciation  de l'avifaune terrestre a cependant donné naissance à quelques  oiseaux inaptes au vol  ( Struthioniformes ,  manchots , etc.). Cosmopolites , les oiseaux peuplent tous les milieux, des glaces de l'Antarctique aux forêts équatoriales et aux déserts. Cette répartition a été rendue possible grâce à des adaptations anatomiques, physiologiques et comportementales (en particulier le  phénomène migratoire ) variées. Cette  plasticité phénotypique  se retrouve également au niveau de la gamme de taille qui va du  Colibri d'Elena  faisant 5 cm  à l' Autruche d’Afrique  pouvant atteindre 2,75 m  de hauteur. Les oiseaux et les mammifères regroupent certaines des espèces qui ont les meilleurs résultats dans les tests d' intelligence animale , avec les  perroquets  et les  corvidés  qui ont la faculté d' utiliser des outils . Toutes ces caractéristiques sont étudiées par les  ornithologues .",Quelles sont les caractéristique des oiseaux ?,"la bipédie , des ailes , un plumage et un bec sans dents"
34,glandes_sudoripares,"Cet article est une  ébauche  concernant l’ anatomie .  Vous pouvez partager vos connaissances en l’améliorant ( comment? ) selon les recommandations des  projets correspondants . Les  glandes sudoripares  ou  glandes sudorales  sont des annexes cutanées ( organes microscopiques  spécialisés) qui sécrètent la  sueur  et, pour certaines d'entre elles, des  hormones  ou  phéromones . Histologiquement, il s'agit de  glandes exocrines  ( épithéliums  cubiques bistratifiés) dont la fonction première est la  transpiration . On distingue chez les mammifères trois types de glandes sudoripares: les glandes eccrines, les glandes apocrines et les glandes sébacées. Ces deux dernières constituent les deux principaux types.",Quelle est la fonction première des glandes sudoripares ?,la transpiration
35,carnivore,"Pour les articles homonymes, voir  Carnivore (régime alimentaire)  et  Carnivore domestique . Ordre Sous-ordres  de rang inférieur Les  Carnivores  ( Carnivora ) sont un  ordre  de  mammifères   placentaires  du  super-ordre  des  Laurasiathériens . Ils se distinguent par une  mâchoire  et une  denture  qui leur permet de chasser et de manger d'autres animaux. Une des  synapomorphies  qui caractérisent les Carnivores est la présence d'une  carnassière . Les  canines  sont transformées en crocs. Leur cerveau est de type  gyrencéphale . Cet ordre est composé majoritairement d'animaux rapides au  régime alimentaire   carnivore  (chair crue), bien qu'il existe certains membres qui n'ont pas ce régime, tels le  panda géant  qui est  herbivore  et des  omnivores  opportunistes comme le  Renard roux  ou le  Binturong  qui est principalement  frugivore . D'autre part, les  mammifères  carnassiers ne sont pas tous forcément membres de cet ordre. On peut ainsi citer, par exemple, le  dasyure , le  thylacine , ou le  diable de Tasmanie , qui sont tous trois des  marsupiaux , ou bien certains  cétacés  tels que l' orque  ou le  grand cachalot .",Quelle est la forme des canines des carnivores ?,en crocs
36,robe,"Pour les articles homonymes, voir  Robe . Cet article est une  ébauche  concernant la  zoologie .  Vous pouvez partager vos connaissances en l’améliorant ( comment? ) selon les recommandations des  projets correspondants . La  robe  d'un  animal  consiste en la nature et la qualité de sa  peau  ou de sa  pilosité .  La robe d'un animal, ou pelage, est une caractéristique complexe avec des bases scientifiques. La couleur est influencée par des pigments comme la mélanine et la phéomélanine.   La structure des poils varie, affectant la texture, et la fonction du pelage inclut l'isolation thermique, la camouflage et la protection. Les cycles de mue s'adaptent aux saisons, l'adaptation écologique peut influencer l'épaisseur du pelage, et la variabilité génétique, identifiée par des études, contribue à des différences intra et interspécifiques. Chez les  mammifères  de compétition, l'état de la robe est jugé en plusieurs catégories. Ces catégories peuvent inclure les  poils  longs ( jarre ), portant les marques de la robe et les poils plus courts ( bourre  ou  duvet )  [ 1 ] .La robe indique la qualité de l' élevage . Souvent, la robe est un facteur indispensable pour reconnaître une espèce ou une race.",Par quel pigments est influencé la couleur de la robe ?,la mélanine et la phéomélanine
37,Australie,"Cet article possède des  paronymes , voir  Austrasie  et  Australasie .  L'Australie désigne un État, mais aussi un  territoire géographique , un  continent géologique  et sa  principale étendue de terre . Cet article traite principalement de l’ État d'Australie . Commonwealth d'Australie (en)  Commonwealth of Australia 35°15′S, 149°08′E modifier   L' Australie , en forme longue le  Commonwealth d'Australie  (en  anglais :  Australia  et  Commonwealth of Australia ), est un  pays  d' Océanie , situé entre les océans  Pacifique  et  Indien . Elle comprend la  partie continentale  du  continent australien , l'île de  Tasmanie  ainsi que de  nombreuses petites îles . Elle est entourée par l' Indonésie , le  Timor oriental  et la  Papouasie-Nouvelle-Guinée  au nord, les  îles Salomon , le  Vanuatu  et la  Nouvelle-Calédonie  au nord-est et la  Nouvelle-Zélande  au sud-est. L'État le plus proche de l'Australie est la  Papouasie-Nouvelle-Guinée , toutes deux séparées par le  détroit de Torrès , large en son point le plus étroit de seulement 40 km . Avec une superficie de 7741200 km 2 , l'Australie est le plus grand pays d'Océanie et le  sixième plus grand pays du monde . Son territoire continental est plat et sec, avec des  sols  peu fertiles. L'Australie est un  pays mégadivers  et sa taille lui confère une grande variété de  paysages  et de  climats , avec des  déserts  au  centre , des  forêts tropicales humides  au nord-est et des  chaînes de montagnes  au sud-est. Le territoire australien a d'abord été habité par des  peuples aborigènes , dont les  premiers peuplements  sont arrivés d' Asie du Sud-Est  il y a environ 50000ans, au cours de la  dernière période glaciaire . L' exploration maritime  du territoire par les Européens commence au début du  XVII e siècle. En 1606, le navigateur  néerlandais   Willem Janszoon  devient le premier Européen à atteindre la partie continentale de l'Australie. En  1770 , l'explorateur  britannique   James Cook  cartographie et revendique la côte est pour la  Grande-Bretagne . Le  26 janvier 1788 , la  Première flotte  de navires britanniques arrive à  Sydney Cove  pour établir la  colonie   pénitentiaire  de  Nouvelle-Galles du Sud . Au cours des décennies suivantes, les Britanniques colonisent des terres qu'ils considèrent comme  terra nullius , mais qui mènent aux  guerres de la frontière  décimant les populations autochtones d'Australie, qui comptaient jusque-là 300000 à un million d'individus. Au moment de la  ruée vers l'or  des années 1850, cinq autres  colonies  ont été établies. Des parlements démocratiques sont progressivement instaurés au cours du  XIX e siècle, culminant avec un  vote  en faveur de la  Fédération  des six colonies le  1 er  janvier 1901 , pour former le Commonwealth d'Australie. Depuis, l'Australie maintient un système politique stable de type  démocratie libérale  ainsi qu'une riche  économie de marché . Politiquement, l'Australie est une  monarchie constitutionnelle   parlementaire   fédérale , constituée de  six États et dix territoires . Le  roi , représenté par le  gouverneur général , agit comme  chef d'État  et le  Premier ministre  agit comme  chef du gouvernement . Sa capitale est  Canberra , tandis que sa ville la plus peuplée et son centre financier est  Sydney . Ses autres  grandes villes  sont  Melbourne ,  Brisbane ,  Perth  et  Adélaïde . Sa  population , estimée à près de 26 millions d'habitants en 2021, est en majorité  blanche , mais elle comporte également plusieurs minorités raciales, depuis la fin de la  politique de l'Australie blanche  en 1973. Elle est fortement  urbanisée  et est majoritairement concentrée sur la côte est. Aujourd'hui, les  immigrés  représentent 30% de la population du pays. L'Australie est un  pays développé  avec une économie à revenu élevé. Ses ressources naturelles abondantes et ses relations commerciales internationales développées sont essentielles pour son  économie , qui génère des revenus à partir des  services , des  exportations minières , de la  banque , de l' industrie manufacturière , de l' agriculture  et de l' éducation  internationale. En 2022, l'Australie est la  douzième économie mondiale  avec le  neuvième revenu par habitant  le plus élevé. L'Australie est une  puissance régionale  et possède la  treizième plus grande dépense militaire  au monde. L'Australie figure en haut des classements internationaux en termes de qualité de vie, de  démocratie , de santé, d'éducation, de  liberté économique , de  libertés publiques , de  sécurité  et de droits politiques. En  2017 , elle est classée au  cinquième rang  de l' indice de développement humain . En 2023, elle est classée en  24 e position pour l' indice mondial de l'innovation [ 6 ] . Plusieurs de ses grandes villes figurent dans les  classements des villes les plus agréables à vivre . L'Australie est membre de plusieurs organisations internationales, dont l' ONU , le  G20 , l' OCDE , l' OMC , l' ANZUS , l' AUKUS , le  FVEY , le  Quad , l' APEC , le  Forum des îles du Pacifique , la  Communauté du Pacifique  et le  Commonwealth .",Quel  pays est le plus grand pays d'Océanie et le  sixième plus grand pays du monde ?,l'Australie
38,espèce,"Cet article concerne le sens biologique du mot «espèce». Pour les autres significations, voir  Espèce (homonymie) . Dans les  sciences du vivant , l’ espèce  (du  latin   species , «type» ou «apparence») est le  taxon  de base de la  systématique . La définition le plus communément admise est celle du concept biologique [ 1 ] , [ 2 ] , [ 3 ] : une espèce est un ensemble d'individus qui peuvent effectivement ou potentiellement se reproduire entre eux et engendrer une descendance viable et féconde, dans des conditions naturelles. Une publication de 1997 recense cependant  22 concepts  d'espèces (espèce biologique, morphologique, écologique, comportementale…) dans la  littérature scientifique [ 4 ] . Ainsi, l'espèce est la plus grande unité de population au sein de laquelle le flux génétique est possible et les individus d'une même espèce sont donc génétiquement isolés d'autres ensembles équivalents du point de vue reproductif. En particulier, le critère d’interfécondité ne peut pas toujours être vérifié: c'est le cas pour les  fossiles , les  organismes   asexués  ou pour des espèces rares ou difficiles à observer. D’autres définitions peuvent donc être utilisées [ 5 ] :",Chez qui le critère l'interfécondité ne peut pas toujours être vérifié ?,"les  fossiles , les  organismes   asexués  ou pour des espèces rares ou difficiles à observer"
39,vieillissement,"Le  vieillissement  est l'ensemble des modifications fonctionnelles diminuant progressivement l'aptitude d'un objet, d'une information ou d'un organisme à assurer ses fonctions dans le temps. Dans le cas d'un  organisme vivant  ( être humain  par exemple), la plupart des cellules et organes ont une durée de vie maximale génétiquement programmée, mais ce processus peut être accéléré par divers stress subis  in utero  ou durant la vie - qui conduisent le plus souvent [ 1 ]  cet organisme à ne plus assurer son équilibre  physiologique , ce qui le mène à la  mort . Chez l' Homme , le vieillissement est un processus complexe, lent et progressif, qui implique divers facteurs biologiques, psychologiques et sociaux. Ces facteurs sont en partie  génétiques  (vieillissement intrinsèque), et pour partie liés à l'histoire de vie de chacun (facteurs externes de vieillissement, acquis ou subis). Le vieillissement de certaines cellules commence dès la naissance, voire  in utero . Chez l'Homme, par convention, on parle de vieillissement à partir d'un certain âge (l’âge «mûr»), avant de différencier le  3 e âge (65 – 89 ans) du  4 e âge ou grand âge (> 90 ans). Sur le plan médical, les définitions chronologiques sont reléguées au second plan au profit de celles tenant compte du niveau de dépendance du sujet âgé. L'étude de la vieillesse et du vieillissement humain est la  gérontologie  (terme formé sur le mot  grec   geron, gerontos , «vieillard»). La  médecine  de la vieillesse est la  gériatrie .",Comment s'appelle l'étude de la vieillesse et du vieillissement humain ?,la  gériatrie
40,griffes,"Pour les articles homonymes, voir  Griffe . Une  griffe  est un élément pointu et courbé trouvé au bout des pattes ou doigts de certains  mammifères , des  oiseaux  et de certains  reptiles . Quelque part, une structure crochue similaire peut être trouvée chez les  arthropodes  tels que les  scarabées  ou les  araignées .  Les pinces des crabes et langoustes sont souvent nommées «griffes». [réf.nécessaire] ",Chez quels espèces les griffes se trouvent au bout des pattes ou doigts ?,"certains  mammifères , des  oiseaux  et de certains  reptiles"
41,castré,"La  castration  est l'annihilation (avec ou sans  ablation ) des organes reproducteurs de végétaux ou d'animaux,  humains  compris. Dans le cas des humains, la castration est considérée comme une  mutilation génitale  et est illégale dans la plupart des pays du monde. On la distingue de l'ablation  chirurgicale  des  testicules  et des  ovaires  — orchidectomie  ou encore  orchiectomie  pour les mâles et  ovariectomie  ou  oophorectomie  pour les femelles— qui peut être nécessaire pour des raisons  thérapeutiques  et de la  castration chimique . La castration concerne dans le règne animal l'ablation des testicules (chez les mâles) et l'ablation des ovaires (chez les femelles), l'ablation de la verge étant appelée  pénectomie  et  clitoridectomie  pour le  clitoris . L'ablation de la  verge  et des  testicules  est une émasculation.",Comment s'intitule l'ablation de la verge et des testicules ?,une émasculation
42,odorat,"L' olfaction  ou l' odorat  est le  sens  qui permet d'analyser les  substances chimiques   volatiles  ( odeurs ) présentes dans l’air. L'olfaction est un sens vital pour de nombreuses espèces [ 1 ] ; il est par exemple utile ou nécessaire pour les activités de recherche alimentaire (chasse, recherche de végétaux appétents, etc. ), l’évitement des  prédateurs , la localisation du lieu de nidification, ponte, reproduction, mise bas, etc. , pour la reconnaissance et le marquage du territoire, pour la communication entre individus par messages olfactifs, pour la recherche de partenaires sexuels, et pour la pollinisation des fleurs, etc.  Ce sens est moins utilisé chez l’ être humain  que chez de nombreux  mammifères  pour lesquels il est prépondérant, néanmoins, l' odeur personnelle  semble encore jouer un ou plusieurs rôles chez l'humain en termes de  communication non verbale [ 2 ] , à plusieurs âges de la vie, avec des nuances notamment selon le sexe (Homme/Femme) [ 3 ] , selon l'âge ou selon les contextes socio-culturels [ 4 ] , [ 5 ] . L' olfactique  est la science du langage des odeurs et de leur rôle dans cette communication non verbale [ 6 ] .",Quel est le deuxième nom pour qualifier l'olfaction ?,l' odorat
43,organe_vestibulaire,"Le  système vestibulaire  est un  organe sensoriel  situé dans l’ oreille interne  qui contribue à la sensation de mouvement et à l’ équilibre  chez la plupart des mammifères.Il est constitué d’un organe sensoriel périphérique composé du labyrinthe postérieur (canaux semi-circulaires, utricule et saccule), du  nerf vestibulocochléaire  et de ses noyaux encéphaliques. Les signaux sensoriels issus du système vestibulaire sont principalement envoyés aux structures neuronales qui commandent certains mouvements oculaires et muscles dans une optique posturale (maintien du corps dans son environnement). Les troubles du système vestibulaire peuvent conduire à des  vertiges  qui peuvent être pris en charge par kinésithérapie spécialisée. On peut comparer l’oreille interne à une  centrale inertielle .",A quoi peut-on comparer l'oreille interne ?,à une  centrale inertielle
44,habitats,"Pour les articles homonymes, voir  Habitat . L' habitat  est un concept utilisé dans le domaine de l' écologie . Un habitat réunit l'ensemble des  êtres vivants  et leurs  interactions  ( biocénose ) et l'ensemble des éléments physiques ou chimiques ( biotope ). Certaines  espèces clés ou facilitatrices  jouent un rôle dans la création et l'entretien de l'habitat ( coraux  pour les  récifs coralliens  par exemple). L'habitat est aussi un ensemble d'éléments de l' écologie du paysage  qui constituent l' environnement biophysique  et offrent les  ressources naturelles  suffisantes pour permettre à une population d'une espèce de vivre et se reproduire normalement sur ce territoire. Certains auteurs estiment qu'un habitat (parce qu'il évolue) n'implique pas une viabilité à long terme pour l'espèce qui y vit, mais au moins une viabilité à court terme [ 1 ] . La notion d'habitat est utilisée pour décrire (et éventuellement cartographier) l'endroit et les caractéristiques du «milieu» dans lequel une  population  d'individus d'une espèce donnée (ou d'un groupe d'espèces  symbiotes  ou vivant en  guilde ) peut normalement vivre et s'épanouir. Il faudrait plutôt parler de  l'habitat d'une population  plutôt que d'une espèce ou d'un «organisme», car s'il est par exemple possible de décrire précisément l'habitat d'un seul  ours dans les Pyrénées , l'espèce  Ursus arctos  devrait être constituée d'une « métapopulation » divisée en nombreux groupes d'individus (sous-populations) vivant dans des habitats plus variés que ceux dans lesquels les derniers individus de cette espèce tentent de survivre; cette espèce était autrefois commune dans toute l'Europe, des littoraux aux basses-montagnes. En ce qui concerne les  biotopes , les Pyrénées ne sont en rien représentatives de l'habitat optimal. Ils ne constituent que leur dernier refuge, celui où ils ont été le moins traqués et chassés. [réf.nécessaire] ",Dans quel domaine est utilisé le concept d'habitat ?,l' écologie
